,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,outcome,first_time
0,1,1,"[100.6, 54.6]",,Stine Larsen,From Keeper,Aston Villa,Left Center Forward,0.037459332000000005,Normal,Left Foot,Open Play,Blocked,False
1,1,5,"[109.4, 43.0]",,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.026655061,Normal,Head,Open Play,Wayward,False
2,1,6,"[95.6, 38.9]",,Jill Roord,From Throw In,Arsenal WFC,Left Center Midfield,0.034883816000000005,Normal,Right Foot,Open Play,Blocked,False
3,1,10,"[95.6, 44.6]",,Bethany Mead,From Throw In,Arsenal WFC,Center Forward,0.020818915,Normal,Right Foot,Open Play,Off T,False
4,1,14,"[111.0, 33.7]",,Leah Williamson,From Corner,Arsenal WFC,Right Center Back,0.11266468,Half Volley,Left Foot,Open Play,Off T,True
5,1,19,"[94.0, 44.3]",,Danielle van de Donk,From Throw In,Arsenal WFC,Right Center Midfield,0.028800415000000003,Normal,Right Foot,Open Play,Blocked,False
6,1,31,"[96.5, 26.3]",,Bethany Mead,From Free Kick,Arsenal WFC,Center Forward,0.048227828,Normal,Right Foot,Free Kick,Off T,False
7,1,34,"[101.8, 35.1]",1.0,Jill Roord,Regular Play,Arsenal WFC,Left Center Midfield,0.082971126,Normal,Right Foot,Open Play,Saved,False
8,1,36,"[102.2, 48.9]",,Bethany Mead,From Throw In,Arsenal WFC,Center Forward,0.046949074,Normal,Left Foot,Open Play,Blocked,False
9,1,38,"[95.7, 41.3]",,Noelle Maritz,From Throw In,Arsenal WFC,Right Back,0.02634857,Normal,Left Foot,Open Play,Saved,False
10,1,38,"[111.8, 46.2]",1.0,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.010444514,Normal,Head,Open Play,Blocked,False
11,1,39,"[114.7, 42.8]",1.0,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.15369453,Normal,Head,Open Play,Saved,False
12,1,39,"[102.1, 31.1]",,Leah Williamson,From Corner,Arsenal WFC,Right Center Back,0.044273887000000005,Normal,Left Foot,Open Play,Blocked,False
13,1,44,"[102.8, 37.3]",,Bethany Mead,From Keeper,Arsenal WFC,Center Forward,0.054772194,Normal,Left Foot,Open Play,Blocked,False
14,2,46,"[97.5, 31.5]",,Vivianne Miedema,Regular Play,Arsenal WFC,Left Wing,0.036245182,Normal,Right Foot,Open Play,Off T,False
15,2,48,"[101.3, 59.6]",,Stine Larsen,Regular Play,Aston Villa,Left Center Forward,0.05839978,Normal,Right Foot,Open Play,Off T,False
16,2,49,"[110.8, 36.3]",1.0,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.053832423000000004,Volley,Left Foot,Open Play,Off T,True
17,2,50,"[99.3, 42.5]",,Vivianne Miedema,From Throw In,Arsenal WFC,Left Wing,0.031911425,Normal,Left Foot,Open Play,Blocked,False
18,2,50,"[109.6, 44.9]",,Danielle van de Donk,From Throw In,Arsenal WFC,Right Center Midfield,0.21475258,Volley,Right Foot,Open Play,Off T,True
19,2,56,"[97.7, 28.6]",,Elisha N''Dow,Regular Play,Aston Villa,Right Center Back,0.030189594,Normal,Right Foot,Open Play,Off T,True
20,2,57,"[115.9, 39.2]",,Vivianne Miedema,From Goal Kick,Arsenal WFC,Left Wing,0.40806144,Half Volley,Left Foot,Open Play,Goal,True
21,2,61,"[87.7, 22.2]",,Jordan Nobbs,From Free Kick,Arsenal WFC,Right Wing,0.014656003,Normal,Right Foot,Open Play,Saved,False
22,2,66,"[110.7, 31.1]",,Vivianne Miedema,Regular Play,Arsenal WFC,Left Wing,0.34861112,Normal,Left Foot,Open Play,Saved,False
23,2,66,"[110.4, 37.2]",,Jordan Nobbs,Regular Play,Arsenal WFC,Right Wing,0.43302402,Normal,Left Foot,Open Play,Goal,True
24,2,68,"[109.3, 46.6]",,Noelle Maritz,Regular Play,Arsenal WFC,Right Back,0.29524849999999997,Normal,Left Foot,Open Play,Post,False
25,2,68,"[111.0, 33.9]",,Katie McCabe,Regular Play,Arsenal WFC,Left Back,0.16477874,Diving Header,Head,Open Play,Saved,False
26,2,70,"[101.2, 44.8]",,Bethany Mead,From Throw In,Arsenal WFC,Center Forward,0.051100373000000004,Normal,Left Foot,Open Play,Off T,False
27,2,72,"[93.8, 39.0]",,Jill Roord,From Throw In,Arsenal WFC,Left Center Midfield,0.029416695000000003,Normal,Left Foot,Open Play,Off T,False
28,2,72,"[92.3, 28.1]",,Katie McCabe,Regular Play,Arsenal WFC,Left Back,0.0190712,Normal,Left Foot,Open Play,Goal,False
29,2,77,"[117.7, 35.2]",1.0,Stine Larsen,Regular Play,Aston Villa,Left Center Forward,0.22659361,Normal,Head,Open Play,Off T,False
30,2,87,"[116.1, 40.6]",,Lisa Evans,Regular Play,Arsenal WFC,Left Center Midfield,0.33709714,Normal,Head,Open Play,Goal,False
31,2,88,"[110.8, 57.7]",,Stine Larsen,From Throw In,Arsenal WFC,Left Center Forward,0.020264043000000002,Normal,Left Foot,Open Play,Wayward,False
32,1,2,"[113.3, 41.9]",,Caitlin Jade Foord,From Kick Off,Arsenal WFC,Center Attacking Midfield,0.43609425,Normal,Head,Open Play,Saved,False
33,1,2,"[112.2, 40.4]",,Carlotte Wubben-Moy,From Corner,Arsenal WFC,Left Center Back,0.28086048,Normal,Head,Open Play,Off T,False
34,1,9,"[110.4, 38.2]",,Katie McCabe,Regular Play,Arsenal WFC,Left Back,0.26262522,Volley,Left Foot,Open Play,Off T,True
35,1,12,"[106.3, 51.1]",,Vivianne Miedema,From Free Kick,Arsenal WFC,Center Forward,0.12627019,Normal,Right Foot,Open Play,Saved,True
36,1,28,"[112.2, 52.1]",,Vivianne Miedema,Regular Play,Arsenal WFC,Center Forward,0.14120513,Normal,Left Foot,Open Play,Off T,False
37,1,32,"[98.5, 45.7]",,Vivianne Miedema,From Throw In,Arsenal WFC,Center Forward,0.03876831,Normal,Left Foot,Open Play,Goal,False
38,1,34,"[112.4, 41.5]",1.0,Leah Williamson,From Corner,Arsenal WFC,Right Center Back,0.12674831,Normal,Head,Open Play,Off T,False
39,1,42,"[90.1, 40.2]",,Kenza Dali,Regular Play,West Ham United LFC,Right Wing,0.022496447000000003,Normal,Right Foot,Open Play,Blocked,False
40,1,43,"[107.6, 41.1]",1.0,Dagný Brynjarsdóttir,From Corner,West Ham United LFC,Left Wing,0.027749015000000002,Normal,Head,Open Play,Off T,False
41,1,44,"[109.3, 36.2]",,Dagný Brynjarsdóttir,Regular Play,West Ham United LFC,Left Wing,0.10500124,Normal,Head,Open Play,Off T,False
42,2,52,"[90.9, 32.3]",,Emily Louise van Egmond,From Throw In,West Ham United LFC,Left Defensive Midfield,0.016119216000000002,Normal,Right Foot,Open Play,Off T,False
43,2,53,"[95.5, 31.6]",,Vivianne Miedema,Regular Play,Arsenal WFC,Center Attacking Midfield,0.029564602000000002,Normal,Left Foot,Open Play,Saved,False
44,2,59,"[114.3, 39.9]",,Bethany Mead,From Throw In,Arsenal WFC,Right Midfield,0.24843171,Half Volley,Right Foot,Open Play,Saved,False
45,2,69,"[101.5, 50.1]",,Caitlin Jade Foord,Regular Play,Arsenal WFC,Center Forward,0.43217123,Normal,Right Foot,Open Play,Saved,True
46,2,72,"[94.4, 46.1]",,Bethany Mead,Regular Play,Arsenal WFC,Right Midfield,0.018745264,Normal,Right Foot,Open Play,Blocked,False
47,2,75,"[112.4, 38.9]",1.0,Martha Thomas,From Corner,West Ham United LFC,Right Defensive Midfield,0.079213746,Normal,Head,Open Play,Wayward,False
48,2,75,"[106.9, 48.7]",,Emily Louise van Egmond,From Corner,West Ham United LFC,Left Defensive Midfield,0.017087104000000002,Normal,Right Foot,Open Play,Blocked,False
49,2,77,"[113.5, 51.1]",,Kim Little,From Goal Kick,Arsenal WFC,Left Center Midfield,0.13460933,Normal,Right Foot,Open Play,Goal,False
50,2,84,"[108.9, 45.8]",1.0,Martha Thomas,Regular Play,West Ham United LFC,Right Defensive Midfield,0.026064849,Normal,Head,Open Play,Saved,False
