,period,minute,location,under_pressure,player_name,pattern_of_play,team,player_position,statsbomb_xg,technique,body_part,tipe,first_time,goal,location_x,location_y,distance,angle
0,1,1,"[100.6, 54.6]",0.0,Stine Larsen,From Keeper,Aston Villa,Left Center Forward,0.037459332,Normal,Left Foot,Open Play,0,0,100.6,54.6,24.28003294890681,0.26427989804508906
1,1,5,"[109.4, 43.0]",0.0,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.026655061,Normal,Head,Open Play,0,0,109.4,43.0,11.016351483136324,0.677697053705148
2,1,6,"[95.6, 38.9]",0.0,Jill Roord,From Throw In,Arsenal WFC,Left Center Midfield,0.034883816,Normal,Right Foot,Open Play,0,0,95.6,38.9,24.424782496472723,0.3243474683950303
3,1,10,"[95.6, 44.6]",0.0,Bethany Mead,From Throw In,Arsenal WFC,Center Forward,0.020818915,Normal,Right Foot,Open Play,0,0,95.6,44.6,24.829820780666143,0.31427858864391656
4,1,14,"[111.0, 33.7]",0.0,Leah Williamson,From Corner,Arsenal WFC,Right Center Back,0.11266468,Half Volley,Left Foot,Open Play,1,0,111.0,33.7,10.98590005416033,0.6024535371964087
5,1,19,"[94.0, 44.3]",0.0,Danielle van de Donk,From Throw In,Arsenal WFC,Right Center Midfield,0.028800415,Normal,Right Foot,Open Play,0,0,94.0,44.3,26.3531781764553,0.29746706102330145
6,1,31,"[96.5, 26.3]",0.0,Bethany Mead,From Free Kick,Arsenal WFC,Center Forward,0.048227828,Normal,Right Foot,Free Kick,0,0,96.5,26.3,27.201838173182338,0.2540776934052448
7,1,34,"[101.8, 35.1]",1.0,Jill Roord,Regular Play,Arsenal WFC,Left Center Midfield,0.082971126,Normal,Right Foot,Open Play,0,0,101.8,35.1,18.848076824970768,0.40540751599696656
8,1,36,"[102.2, 48.9]",0.0,Bethany Mead,From Throw In,Arsenal WFC,Center Forward,0.046949074,Normal,Left Foot,Open Play,0,0,102.2,48.9,19.901004999748125,0.3584967055756161
9,1,38,"[95.7, 41.3]",0.0,Noelle Maritz,From Throw In,Arsenal WFC,Right Back,0.02634857,Normal,Left Foot,Open Play,0,0,95.7,41.3,24.334748817277728,0.3254011981059237
10,1,38,"[111.8, 46.2]",1.0,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.010444514,Normal,Head,Open Play,0,0,111.8,46.2,10.280077820717121,0.6315489129924312
11,1,39,"[114.7, 42.8]",1.0,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.15369453,Normal,Head,Open Play,0,0,114.7,42.8,5.99416382825828,1.131396804933538
12,1,39,"[102.1, 31.1]",0.0,Leah Williamson,From Corner,Arsenal WFC,Right Center Back,0.044273887,Normal,Left Foot,Open Play,0,0,102.1,31.1,19.99049774267765,0.35726719568768583
13,1,44,"[102.8, 37.3]",0.0,Bethany Mead,From Keeper,Arsenal WFC,Center Forward,0.054772194,Normal,Left Foot,Open Play,0,0,102.8,37.3,17.41062893751975,0.44689026444301566
14,2,46,"[97.5, 31.5]",0.0,Vivianne Miedema,Regular Play,Arsenal WFC,Left Wing,0.036245182,Normal,Right Foot,Open Play,0,0,97.5,31.5,24.052026941611388,0.30970294454245606
15,2,48,"[101.3, 59.6]",0.0,Stine Larsen,Regular Play,Aston Villa,Left Center Forward,0.05839978,Normal,Right Foot,Open Play,0,0,101.3,59.6,27.089665926326965,0.20545936195397113
16,2,49,"[110.8, 36.3]",1.0,Vivianne Miedema,From Corner,Arsenal WFC,Left Wing,0.053832423,Volley,Left Foot,Open Play,1,0,110.8,36.3,9.916148445843278,0.7294698897913849
